,CustomerID,Education,Occupation,Gender,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer
0,11000,Bachelors ,Professional,M,0,0,2,137947,89,0
1,11001,Bachelors ,Professional,M,1,3,3,101141,117,1
2,11002,Bachelors ,Professional,M,1,3,3,91945,123,0
3,11003,Bachelors ,Professional,F,1,0,0,86688,50,0
4,11004,Bachelors ,Professional,F,4,5,5,92771,95,1
5,11005,Bachelors ,Professional,M,1,0,0,103199,78,1
6,11006,Bachelors ,Professional,F,1,0,0,84756,54,1
7,11007,Bachelors ,Professional,M,2,3,3,109759,130,1
8,11008,Bachelors ,Professional,F,3,4,4,88005,85,1
9,11009,Bachelors ,Professional,M,1,0,0,106399,74,0
10,11010,Bachelors ,Professional,F,1,0,0,81294,49,0
11,11011,Bachelors ,Professional,M,4,4,4,94029,146,1
12,11012,Bachelors ,Management,F,2,0,2,99245,55,1
13,11013,Bachelors ,Management,M,3,0,2,115859,84,0
14,11014,Bachelors ,Management,F,3,0,3,105157,49,0
15,11015,Partial College,Skilled Manual,F,1,0,0,40011,39,0
16,11016,Partial College,Skilled Manual,M,1,0,0,46808,68,0
17,11019,High School,Skilled Manual,M,2,0,0,49455,64,1
18,11020,High School,Skilled Manual,M,2,0,0,43857,64,0
19,11023,Partial College,Skilled Manual,M,1,0,0,50046,71,0
20,11024,Partial College,Skilled Manual,M,2,0,0,91276,77,0
21,11025,Partial High School,Clerical,M,2,1,2,24334,70,0
22,11026,Partial College,Clerical,M,2,0,2,61905,63,0
23,11027,Partial College,Clerical,M,2,0,2,49349,76,0
24,11028,Partial College,Clerical,F,2,0,2,44068,43,0
25,11031,High School,Skilled Manual,F,2,0,4,18843,43,0
26,11032,High School,Skilled Manual,F,2,0,4,15861,42,0
27,11033,High School,Skilled Manual,M,2,0,4,35822,58,0
28,11034,High School,Skilled Manual,F,2,0,4,29017,39,0
29,11035,Partial High School,Clerical,F,2,1,2,11721,50,0
30,11036,Partial College,Skilled Manual,F,2,0,0,84890,52,0
31,11037,Partial High School,Clerical,F,2,0,0,48651,46,0
33,11040,Partial College,Skilled Manual,M,2,0,0,56248,65,0
35,11042,Partial College,Skilled Manual,F,2,0,0,70623,55,0
36,11043,Partial College,Skilled Manual,M,2,0,0,78150,77,0
37,11044,Partial High School,Clerical,M,2,1,2,24007,76,0
38,11045,High School,Skilled Manual,M,2,0,3,51472,63,0
39,11046,High School,Skilled Manual,F,2,0,3,50798,48,0
40,11047,High School,Skilled Manual,F,2,0,3,42738,43,0
41,11049,Partial High School,Clerical,F,2,0,0,48422,41,1
42,11050,High School,Skilled Manual,M,2,0,3,58585,73,0
43,11051,High School,Skilled Manual,M,2,0,3,45982,64,0
44,11052,Partial College,Clerical,F,2,0,2,50790,49,0
45,11053,Partial College,Skilled Manual,F,2,0,0,91599,51,0
46,11054,Partial College,Skilled Manual,F,2,0,2,50018,43,0
47,11055,Partial College,Skilled Manual,M,2,0,2,53459,75,0
48,11056,Partial College,Skilled Manual,F,2,0,3,38588,46,0
49,11057,Graduate Degree,Management,M,2,0,2,119540,82,0
50,11058,Partial College,Skilled Manual,M,2,0,2,119982,87,0
51,11059,Partial College,Skilled Manual,F,2,0,2,86953,45,0
52,11060,Partial College,Skilled Manual,M,2,0,2,116368,87,0
